commune_label,commune_norm,commune_label_title
ABANCOURT,abancourt,Abancourt
ABAUCOURT-HAUTECOURT,abaucourt hautecourt,Abaucourt-hautecourt
ABBARETZ,abbaretz,Abbaretz
ABBECOURT,abbecourt,Abbecourt
ABBEVILLE,abbeville,Abbeville
ABILLY,abilly,Abilly
ABLON-SUR-SEINE,ablon sur seine,Ablon-sur-seine
ACCOUS,accous,Accous
ACHERES,acheres,Acheres
ACHICOURT,achicourt,Achicourt
ACHIET-LE-GRAND,achiet le grand,Achiet-le-grand
ACQUIGNY,acquigny,Acquigny
ADAMSWILLER,adamswiller,Adamswiller
AGDE,agde,Agde
AGEN,agen,Agen
AGONAC,agonac,Agonac
AGUESSAC,aguessac,Aguessac
AGUILCOURT,aguilcourt,Aguilcourt
AHUN,ahun,Ahun
AIFFRES,aiffres,Aiffres
AIGLEMONT,aiglemont,Aiglemont
AIGLUN,aiglun,Aiglun
AIGUEBELETTE-LE-LAC,aiguebelette le lac,Aiguebelette-le-lac
AIGUEPERSE,aigueperse,Aigueperse
AIGUES-MORTES,aigues mortes,Aigues-mortes
AIGUES-VIVES,aigues vives,Aigues-vives
AIGUILLON,aiguillon,Aiguillon
AIGURANDE,aigurande,Aigurande
AILLY-SUR-NOYE,ailly sur noye,Ailly-sur-noye
AILLY-SUR-SOMME,ailly sur somme,Ailly-sur-somme
AIMARGUES,aimargues,Aimargues
AIME-LA-PLAGNE,aime la plagne,Aime-la-plagne
AINAY-LE-VIEIL,ainay le vieil,Ainay-le-vieil
AIRE-SUR-L'ADOUR,aire sur l'adour,Aire-sur-l'adour
AIRE-SUR-LA-LYS,aire sur la lys,Aire-sur-la-lys
AIREL,airel,Airel
AIRVAULT,airvault,Airvault
AISEREY,aiserey,Aiserey
AISEY-ET-RICHECOURT,aisey et richecourt,Aisey-et-richecourt
AISY-SUR-ARMANCON,aisy sur armancon,Aisy-sur-armancon
AIX,aix,Aix
AIX-EN-PROVENCE,aix en provence,Aix-en-provence
AIX-LES-BAINS,aix les bains,Aix-les-bains
AIX-VILLEMAUR-PALIS,aix villemaur palis,Aix-villemaur-palis
AIXE-SUR-VIENNE,aixe sur vienne,Aixe-sur-vienne
AIZENAY,aizenay,Aizenay
AJACCIO,ajaccio,Ajaccio
AJAT,ajat,Ajat
ALBARET-SAINTE-MARIE,albaret sainte marie,Albaret-sainte-marie
ALBERT,albert,Albert
ALBERTVILLE,albertville,Albertville
ALBI,albi,Albi
ALBIAS,albias,Albias
ALBIGNY-SUR-SAONE,albigny sur saone,Albigny-sur-saone
ALENCON,alencon,Alencon
ALES,ales,Ales
ALET-LES-BAINS,alet les bains,Alet-les-bains
ALGAJOLA,algajola,Algajola
ALIXAN,alixan,Alixan
ALIZAY,alizay,Alizay
ALLAN,allan,Allan
ALLANCHE,allanche,Allanche
ALLAND'HUY-ET-SAUSSEUIL,alland'huy et sausseuil,Alland'huy-et-sausseuil
ALLASSAC,allassac,Allassac
ALLEGRE,allegre,Allegre
ALLENC,allenc,Allenc
ALLEREY-SUR-SAONE,allerey sur saone,Allerey-sur-saone
ALLES-SUR-DORDOGNE,alles sur dordogne,Alles-sur-dordogne
ALLEX,allex,Allex
ALLEYRAS,alleyras,Alleyras
ALLEYRAT,alleyrat,Alleyrat
ALLIBAUDIERES,allibaudieres,Allibaudieres
ALLINGES,allinges,Allinges
ALLONNE,allonne,Allonne
ALLOUVILLE-BELLEFOSSE,allouville bellefosse,Allouville-bellefosse
ALLY,ally,Ally
ALMENECHES,almeneches,Almeneches
ALTECKENDORF,alteckendorf,Alteckendorf
ALTKIRCH,altkirch,Altkirch
ALZONNE,alzonne,Alzonne
AMAGNE,amagne,Amagne
AMAZY,amazy,Amazy
AMBARES-ET-LAGRAVE,ambares et lagrave,Ambares-et-lagrave
AMBAZAC,ambazac,Ambazac
AMBERIEU-EN-BUGEY,amberieu en bugey,Amberieu-en-bugey
AMBERT,ambert,Ambert
AMBES,ambes,Ambes
AMBOISE,amboise,Amboise
AMBRIERES-LES-VALLEES,ambrieres les vallees,Ambrieres-les-vallees
AMBRONAY,ambronay,Ambronay
AMBRUGEAT,ambrugeat,Ambrugeat
AMECOURT,amecourt,Amecourt
AMIENS,amiens,Amiens
AMIFONTAINE,amifontaine,Amifontaine
AMILLY,amilly,Amilly
AMNEVILLE,amneville,Amneville
AMPLEPUIS,amplepuis,Amplepuis
AMPUIS,ampuis,Ampuis
ANCEMONT,ancemont,Ancemont
ANCENIS-SAINT-GEREON,ancenis saint gereon,Ancenis-saint-gereon
ANCERVILLE,ancerville,Ancerville
ANCHAMPS,anchamps,Anchamps
ANCHE,anche,Anche
ANCY-DORNOT,ancy dornot,Ancy-dornot
ANCY-LE-FRANC,ancy le franc,Ancy-le-franc
ANDANCE,andance,Andance
ANDANCETTE,andancette,Andancette
ANDELOT-BLANCHEVILLE,andelot blancheville,Andelot-blancheville
ANDELOT-EN-MONTAGNE,andelot en montagne,Andelot-en-montagne
ANDILLY-EN-BASSIGNY,andilly en bassigny,Andilly-en-bassigny
ANDREST,andrest,Andrest
ANDRESY,andresy,Andresy
ANDREZIEUX-BOUTHEON,andrezieux boutheon,Andrezieux-boutheon
ANDUZE,anduze,Anduze
ANGERS,angers,Angers
ANGERVILLE,angerville,Angerville
ANGLARS-NOZAC,anglars nozac,Anglars-nozac
ANGLEFORT,anglefort,Anglefort
ANGLURE,anglure,Anglure
ANGOULEME,angouleme,Angouleme
ANGOULINS,angoulins,Angoulins
ANICHE,aniche,Aniche
ANNAY-LA-COTE,annay la cote,Annay-la-cote
ANNECY,annecy,Annecy
ANNEMASSE,annemasse,Annemasse
ANNEVILLE-SUR-SCIE,anneville sur scie,Anneville-sur-scie
ANNŒULLIN,annœullin,Annœullin
ANOR,anor,Anor
ANOULD,anould,Anould
ANSAC-SUR-VIENNE,ansac sur vienne,Ansac-sur-vienne
ANSE,anse,Anse
ANSTAING,anstaing,Anstaing
ANTIBES,antibes,Antibes
ANTIGNAC,antignac,Antignac
ANTONY,antony,Antony
ANVIN,anvin,Anvin
ANZELING,anzeling,Anzeling
ANZIN,anzin,Anzin
AOUSTE-SUR-SYE,aouste sur sye,Aouste-sur-sye
APPILLY,appilly,Appilly
APREMONT-SUR-ALLIER,apremont sur allier,Apremont-sur-allier
ARAMON,aramon,Aramon
ARBANATS,arbanats,Arbanats
ARBENT,arbent,Arbent
ARBOIS,arbois,Arbois
ARC-ET-SENANS,arc et senans,Arc-et-senans
ARC-LES-GRAY,arc les gray,Arc-les-gray
ARCAMBAL,arcambal,Arcambal
ARCAY,arcay,Arcay
ARCHAMPS,archamps,Archamps
ARCHES,arches,Arches
ARCHIGNAT,archignat,Archignat
ARCIS-SUR-AUBE,arcis sur aube,Arcis-sur-aube
ARCY-SUR-CURE,arcy sur cure,Arcy-sur-cure
ARDENTES,ardentes,Ardentes
ARDON,ardon,Ardon
ARDRES,ardres,Ardres
ARENGOSSE,arengosse,Arengosse
ARGAGNON,argagnon,Argagnon
ARGELES-GAZOST,argeles gazost,Argeles-gazost
ARGELES-SUR-MER,argeles sur mer,Argeles-sur-mer
ARGENT-SUR-SAULDRE,argent sur sauldre,Argent-sur-sauldre
ARGENTAN,argentan,Argentan
ARGENTEUIL,argenteuil,Argenteuil
ARGENTINE,argentine,Argentine
ARGENTON-SUR-CREUSE,argenton sur creuse,Argenton-sur-creuse
ARGONAY,argonay,Argonay
ARGY,argy,Argy
ARLANC,arlanc,Arlanc
ARLES,arles,Arles
ARLEUX,arleux,Arleux
ARMENTIERES,armentieres,Armentieres
ARNAC-POMPADOUR,arnac pompadour,Arnac-pompadour
ARNAGE,arnage,Arnage
ARNEKE,arneke,Arneke
ARNIERES-SUR-ITON,arnieres sur iton,Arnieres-sur-iton
ARNOUVILLE,arnouville,Arnouville
ARPAJON,arpajon,Arpajon
ARPAJON-SUR-CERE,arpajon sur cere,Arpajon-sur-cere
ARQUES,arques,Arques
ARQUES-LA-BATAILLE,arques la bataille,Arques-la-bataille
ARRANCY-SUR-CRUSNES,arrancy sur crusnes,Arrancy-sur-crusnes
ARRAS,arras,Arras
ARREAU,arreau,Arreau
ARS-SUR-MOSELLE,ars sur moselle,Ars-sur-moselle
ARTENAY,artenay,Artenay
ARTIX,artix,Artix
ARTRES,artres,Artres
ARUDY,arudy,Arudy
ARVEYRES,arveyres,Arveyres
ARZEMBOUY,arzembouy,Arzembouy
ARZILLIERES-NEUVILLE,arzillieres neuville,Arzillieres-neuville
ASCOUX,ascoux,Ascoux
ASNIERES-LA-GIRAUD,asnieres la giraud,Asnieres-la-giraud
ASNIERES-SUR-SEINE,asnieres sur seine,Asnieres-sur-seine
ASNOIS,asnois,Asnois
ASPACH-MICHELBACH,aspach michelbach,Aspach-michelbach
ASPIRAN,aspiran,Aspiran
ASPRES-SUR-BUECH,aspres sur buech,Aspres-sur-buech
ASSAT,assat,Assat
ASSIER,assier,Assier
ASTAFFORT,astaffort,Astaffort
ATHIES-SOUS-LAON,athies sous laon,Athies-sous-laon
ATHIS,athis,Athis
ATHIS-MONS,athis mons,Athis-mons
ATTIGNY,attigny,Attigny
ATTIN,attin,Attin
AUBAGNE,aubagne,Aubagne
AUBAZINES,aubazines,Aubazines
AUBENCHEUL-AU-BAC,aubencheul au bac,Aubencheul-au-bac
AUBENTON,aubenton,Aubenton
AUBEPIERRE-OZOUER-LE-REPOS,aubepierre ozouer le repos,Aubepierre-ozouer-le-repos
AUBERCHICOURT,auberchicourt,Auberchicourt
AUBERGENVILLE,aubergenville,Aubergenville
AUBIAT,aubiat,Aubiat
AUBIET,aubiet,Aubiet
AUBIGNAS,aubignas,Aubignas
AUBIGNE-RACAN,aubigne racan,Aubigne-racan
AUBIGNY,aubigny,Aubigny
AUBIGNY-AU-BAC,aubigny au bac,Aubigny-au-bac
AUBIGNY-EN-ARTOIS,aubigny en artois,Aubigny-en-artois
AUBIGNY-LES-POTHEES,aubigny les pothees,Aubigny-les-pothees
AUBIGNY-SUR-NERE,aubigny sur nere,Aubigny-sur-nere
AUBIN,aubin,Aubin
AUBIN-SAINT-VAAST,aubin saint vaast,Aubin-saint-vaast
AUBOUE,auboue,Auboue
AUBREVILLE,aubreville,Aubreville
AUBRIVES,aubrives,Aubrives
AUBUSSON,aubusson,Aubusson
AUCH,auch,Auch
AUCHY-LES-HESDIN,auchy les hesdin,Auchy-les-hesdin
AUDES,audes,Audes
AUDIGNIES,audignies,Audignies
AUDIGNON,audignon,Audignon
AUDINCOURT,audincourt,Audincourt
AUDRIEU,audrieu,Audrieu
AUDRUICQ,audruicq,Audruicq
AUDUN-LE-ROMAN,audun le roman,Audun-le-roman
AUDUN-LE-TICHE,audun le tiche,Audun-le-tiche
AUGER-SAINT-VINCENT,auger saint vincent,Auger-saint-vincent
AUGERVILLE-LA-RIVIERE,augerville la riviere,Augerville-la-riviere
AUGY,augy,Augy
AULNAT,aulnat,Aulnat
AULNAY-SOUS-BOIS,aulnay sous bois,Aulnay-sous-bois
AULNOIS,aulnois,Aulnois
AULNOIS-SOUS-LAON,aulnois sous laon,Aulnois-sous-laon
AULNOYE-AYMERIES,aulnoye aymeries,Aulnoye-aymeries
AUMALE,aumale,Aumale
AUMETZ,aumetz,Aumetz
AUNAY-EN-BAZOIS,aunay en bazois,Aunay-en-bazois
AUNEAU-BLEURY-SAINT-SYMPHORIEN,auneau bleury saint symphorien,Auneau-bleury-saint-symphorien
AUNEUIL,auneuil,Auneuil
AURAY,auray,Auray
AUREC-SUR-LOIRE,aurec sur loire,Aurec-sur-loire
AUREILHAN,aureilhan,Aureilhan
AURILLAC,aurillac,Aurillac
AURIOL,auriol,Auriol
AUTERIVE,auterive,Auterive
AUTET,autet,Autet
AUTHEUIL-AUTHOUILLET,autheuil authouillet,Autheuil-authouillet
AUTHOU,authou,Authou
AUTRECOURT-ET-POURRON,autrecourt et pourron,Autrecourt-et-pourron
AUTREY,autrey,Autrey
AUTREY-LES-GRAY,autrey les gray,Autrey-les-gray
AUTUN,autun,Autun
AUVERS,auvers,Auvers
AUVERS-SUR-OISE,auvers sur oise,Auvers-sur-oise
AUXERRE,auxerre,Auxerre
AUXI-LE-CHATEAU,auxi le chateau,Auxi-le-chateau
AUXON,auxon,Auxon
AUXY,auxy,Auxy
AUZANCES,auzances,Auzances
AUZITS,auzits,Auzits
AVALLON,avallon,Avallon
AVANTON,avanton,Avanton
AVENAY-VAL-D'OR,avenay val d'or,Avenay-val-d'or
AVESNELLES,avesnelles,Avesnelles
AVESNES-LES-AUBERT,avesnes les aubert,Avesnes-les-aubert
AVESNES-SUR-HELPE,avesnes sur helpe,Avesnes-sur-helpe
AVESSAC,avessac,Avessac
AVEZAC-PRAT-LAHITTE,avezac prat lahitte,Avezac-prat-lahitte
AVIGNON,avignon,Avignon
AVIGNONET-LAURAGAIS,avignonet lauragais,Avignonet-lauragais
AVION,avion,Avion
AVIZE,avize,Avize
AVOISE,avoise,Avoise
AVON,avon,Avon
AVORD,avord,Avord
AVOUDREY,avoudrey,Avoudrey
AVRANCHES,avranches,Avranches
AVRECHY,avrechy,Avrechy
AVRECOURT,avrecourt,Avrecourt
AVREE,avree,Avree
AVRICOURT,avricourt,Avricourt
AVRIGNY,avrigny,Avrigny
AX-LES-THERMES,ax les thermes,Ax-les-thermes
AXAT,axat,Axat
AŸ-CHAMPAGNE,ay champagne,Aÿ-champagne
AYRON,ayron,Ayron
AYTRE,aytre,Aytre
AZAY-LE-RIDEAU,azay le rideau,Azay-le-rideau
AZERAILLES,azerailles,Azerailles
AZERAT,azerat,Azerat
BABŒUF,babœuf,Babœuf
BACCARAT,baccarat,Baccarat
BACOUEL,bacouel,Bacouel
BACOUEL-SUR-SELLE,bacouel sur selle,Bacouel-sur-selle
BADAROUX,badaroux,Badaroux
BAGNAC-SUR-CELE,bagnac sur cele,Bagnac-sur-cele
BAGNEAUX-SUR-LOING,bagneaux sur loing,Bagneaux-sur-loing
BAGNERES-DE-BIGORRE,bagneres de bigorre,Bagneres-de-bigorre
BAGNERES-DE-LUCHON,bagneres de luchon,Bagneres-de-luchon
BAGNOLES DE L'ORNE NORMANDIE,bagnoles de l'orne normandie,Bagnoles De L'orne Normandie
BAGNOLS-SUR-CEZE,bagnols sur ceze,Bagnols-sur-ceze
BAIGNES-SAINTE-RADEGONDE,baignes sainte radegonde,Baignes-sainte-radegonde
BAIGTS-DE-BEARN,baigts de bearn,Baigts-de-bearn
BAILLARGUES,baillargues,Baillargues
BAILLEAU-ARMENONVILLE,bailleau armenonville,Bailleau-armenonville
BAILLEAU-L'EVEQUE,bailleau l'eveque,Bailleau-l'eveque
BAILLEAU-LE-PIN,bailleau le pin,Bailleau-le-pin
BAILLEUL,bailleul,Bailleul
BAILLEUL-SIR-BERTHOULT,bailleul sir berthoult,Bailleul-sir-berthoult
BAILLEUL-SUR-THERAIN,bailleul sur therain,Bailleul-sur-therain
BAILLY,bailly,Bailly
BAINVILLE-SUR-MADON,bainville sur madon,Bainville-sur-madon
BAISIEUX,baisieux,Baisieux
BAIX,baix,Baix
BALADOU,baladou,Baladou
BALAGNY-SUR-THERAIN,balagny sur therain,Balagny-sur-therain
BALARUC-LES-BAINS,balaruc les bains,Balaruc-les-bains
BALAZE,balaze,Balaze
BALBIGNY,balbigny,Balbigny
BALLAN-MIRE,ballan mire,Ballan-mire
BALLANCOURT-SUR-ESSONNE,ballancourt sur essonne,Ballancourt-sur-essonne
BALLERSDORF,ballersdorf,Ballersdorf
BALSIEGES,balsieges,Balsieges
BANASSAC-CANILHAC,banassac canilhac,Banassac-canilhac
BANDOL,bandol,Bandol
BANNALEC,bannalec,Bannalec
BANNES,bannes,Bannes
BANTZENHEIM,bantzenheim,Bantzenheim
BANYULS-DELS-ASPRES,banyuls dels aspres,Banyuls-dels-aspres
BANYULS-SUR-MER,banyuls sur mer,Banyuls-sur-mer
BAR-LE-DUC,bar le duc,Bar-le-duc
BAR-SUR-AUBE,bar sur aube,Bar-sur-aube
BAR-SUR-SEINE,bar sur seine,Bar-sur-seine
BARAQUEVILLE,baraqueville,Baraqueville
BARBENTANE,barbentane,Barbentane
BARBEREY-SAINT-SULPICE,barberey saint sulpice,Barberey-saint-sulpice
BARBERIER,barberier,Barberier
BARBONNE-FAYEL,barbonne fayel,Barbonne-fayel
BARCELONNE-DU-GERS,barcelonne du gers,Barcelonne-du-gers
BARENTIN,barentin,Barentin
BARENTON-BUGNY,barenton bugny,Barenton-bugny
BARENTON-SUR-SERRE,barenton sur serre,Barenton-sur-serre
BARISEY-AU-PLAIN,barisey au plain,Barisey-au-plain
BARJAC,barjac,Barjac
BARNAY,barnay,Barnay
BARNEVILLE-CARTERET,barneville carteret,Barneville-carteret
BARR,barr,Barr
BARSAC,barsac,Barsac
BARTENHEIM,bartenheim,Bartenheim
BAS-EN-BASSET,bas en basset,Bas-en-basset
BASSENS,bassens,Bassens
BASSES,basses,Basses
BASSILLAC ET AUBEROCHE,bassillac et auberoche,Bassillac Et Auberoche
BASTIA,bastia,Bastia
BATILLY,batilly,Batilly
BATZ-SUR-MER,batz sur mer,Batz-sur-mer
BAUDEMONT,baudemont,Baudemont
BAUDRECOURT,baudrecourt,Baudrecourt
BAUGE-EN-ANJOU,bauge en anjou,Bauge-en-anjou
BAULE,baule,Baule
BAUME-LES-DAMES,baume les dames,Baume-les-dames
BAUVIN,bauvin,Bauvin
BAVAY,bavay,Bavay
BAYARD-SUR-MARNE,bayard sur marne,Bayard-sur-marne
BAYEL,bayel,Bayel
BAYET,bayet,Bayet
BAYEUX,bayeux,Bayeux
BAYONNE,bayonne,Bayonne
BAZANCOURT,bazancourt,Bazancourt
BAZARNES,bazarnes,Bazarnes
BAZEILLES,bazeilles,Bazeilles
BAZIEGE,baziege,Baziege
BAZOCHES-ET-SAINT-THIBAUT,bazoches et saint thibaut,Bazoches-et-saint-thibaut
BAZOILLES-ET-MENIL,bazoilles et menil,Bazoilles-et-menil
BAZOILLES-SUR-MEUSE,bazoilles sur meuse,Bazoilles-sur-meuse
BAZOUGES CRE SUR LOIR,bazouges cre sur loir,Bazouges Cre Sur Loir
BEARD,beard,Beard
BEAUCAIRE,beaucaire,Beaucaire
BEAUCHASTEL,beauchastel,Beauchastel
BEAUCHERY-SAINT-MARTIN,beauchery saint martin,Beauchery-saint-martin
BEAUCROISSANT,beaucroissant,Beaucroissant
BEAUFAI,beaufai,Beaufai
BEAUFORT-ORBAGNA,beaufort orbagna,Beaufort-orbagna
BEAUGENCY,beaugency,Beaugency
BEAUJEU,beaujeu,Beaujeu
BEAULIEU,beaulieu,Beaulieu
BEAULIEU-SUR-MER,beaulieu sur mer,Beaulieu-sur-mer
BEAUMETZ-LES-LOGES,beaumetz les loges,Beaumetz-les-loges
BEAUMONT-DE-LOMAGNE,beaumont de lomagne,Beaumont-de-lomagne
BEAUMONT-DU-GATINAIS,beaumont du gatinais,Beaumont-du-gatinais
BEAUMONT-HAMEL,beaumont hamel,Beaumont-hamel
BEAUMONT-LE-ROGER,beaumont le roger,Beaumont-le-roger
BEAUMONT SAINT-CYR,beaumont saint cyr,Beaumont Saint-cyr
BEAUNE,beaune,Beaune
BEAUNE-LA-ROLANDE,beaune la rolande,Beaune-la-rolande
BEAUPOUYET,beaupouyet,Beaupouyet
BEAURAINVILLE,beaurainville,Beaurainville
BEAUREPAIRE,beaurepaire,Beaurepaire
BEAURIERES,beaurieres,Beaurieres
BEAUTIRAN,beautiran,Beautiran
BEAUVAIS,beauvais,Beauvais
BEAUVOIR-SUR-NIORT,beauvoir sur niort,Beauvoir-sur-niort
BEAUVOISIN,beauvoisin,Beauvoisin
BEAUZAC,beauzac,Beauzac
BEDARIEUX,bedarieux,Bedarieux
BEDARRIDES,bedarrides,Bedarrides
BEDENAC,bedenac,Bedenac
BEDOUS,bedous,Bedous
BEGLES,begles,Begles
BEILLE,beille,Beille
BEINHEIM,beinheim,Beinheim
BELFORT,belfort,Belfort
BELGODERE,belgodere,Belgodere
BELIGNEUX,beligneux,Beligneux
BELLAC,bellac,Bellac
